(0,0)
(-0.0896016,0.0444022)
(-0.132513,0.134727)
(-0.205762,0.202805)
(-0.238437,0.297316)
(-0.158846,0.357858)
(-0.0792546,0.418399)
(0.000336419,0.478941)
(0.090959,0.52122)
(0.187451,0.547473)
(0.266934,0.608156)
(0.304535,0.700818)
(0.360406,0.783755)
(0.449118,0.829908)
(0.420639,0.925767)
(0.503325,0.982007)
(0.586011,1.03825)
(0.668698,1.09449)
(0.665726,1.19444)
(0.751334,1.24613)
(0.81268,1.3251)
(0.899617,1.37452)
(0.977741,1.43694)
(1.01297,1.53053)
(1.0857,1.59916)
(1.15853,1.66769)
(1.23095,1.73664)
(1.32556,1.76904)
(1.40783,1.82588)
(1.50056,1.78845)
(1.59264,1.82745)
(1.59264,1.82745)
