(0.5,-1.5)
(0.499924,-1.49127)
(0.499695,-1.48255)
(0.499315,-1.47383)
(0.498782,-1.46512)
(0.498097,-1.45642)
(0.497261,-1.44774)
(0.496273,-1.43907)
(0.495134,-1.43041)
(0.493844,-1.42178)
(0.492404,-1.41318)
(0.490814,-1.4046)
(0.489074,-1.39604)
(0.487185,-1.38752)
(0.485148,-1.37904)
(0.482963,-1.37059)
(0.480631,-1.36218)
(0.478152,-1.35381)
(0.475528,-1.34549)
(0.472759,-1.33722)
(0.469846,-1.32899)
(0.46679,-1.32082)
(0.463592,-1.3127)
(0.460252,-1.30463)
(0.456773,-1.29663)
(0.453154,-1.28869)
(0.449397,-1.28081)
(0.445503,-1.273)
(0.441474,-1.26526)
(0.43731,-1.2576)
(0.433013,-1.25)
(0.428584,-1.24248)
(0.424024,-1.23504)
(0.419335,-1.22768)
(0.414519,-1.2204)
(0.409576,-1.21321)
(0.404508,-1.20611)
(0.399318,-1.19909)
(0.394005,-1.19217)
(0.388573,-1.18534)
(0.383022,-1.17861)
(0.377355,-1.17197)
(0.371572,-1.16543)
(0.365677,-1.159)
(0.35967,-1.15267)
(0.353553,-1.14645)
(0.347329,-1.14033)
(0.340999,-1.13432)
(0.334565,-1.12843)
(0.32803,-1.12265)
(0.321394,-1.11698)
(0.31466,-1.11143)
(0.307831,-1.10599)
(0.300908,-1.10068)
(0.293893,-1.09549)
(0.286788,-1.09042)
(0.279596,-1.08548)
(0.27232,-1.08066)
(0.26496,-1.07598)
(0.257519,-1.07142)
(0.25,-1.06699)
(0.242405,-1.06269)
(0.234736,-1.05853)
(0.226995,-1.0545)
(0.219186,-1.0506)
(0.211309,-1.04685)
(0.203368,-1.04323)
(0.195366,-1.03975)
(0.187303,-1.03641)
(0.179184,-1.03321)
(0.17101,-1.03015)
(0.162784,-1.02724)
(0.154508,-1.02447)
(0.146186,-1.02185)
(0.137819,-1.01937)
(0.12941,-1.01704)
(0.120961,-1.01485)
(0.112476,-1.01281)
(0.103956,-1.01093)
(0.0954045,-1.00919)
(0.0868241,-1.0076)
(0.0782172,-1.00616)
(0.0695866,-1.00487)
(0.0609347,-1.00373)
(0.0522642,-1.00274)
(0.0435779,-1.0019)
(0.0348782,-1.00122)
(0.026168,-1.00069)
(0.0174497,-1.0003)
(0.0087262,-1.00008)
(3.06162e-17,-1)
(-0.0087262,-1.00008)
(-0.0174497,-1.0003)
(-0.026168,-1.00069)
(-0.0348782,-1.00122)
(-0.0435779,-1.0019)
(-0.0522642,-1.00274)
(-0.0609347,-1.00373)
(-0.0695866,-1.00487)
(-0.0782172,-1.00616)
(-0.0868241,-1.0076)
(-0.0954045,-1.00919)
(-0.103956,-1.01093)
(-0.112476,-1.01281)
(-0.120961,-1.01485)
(-0.12941,-1.01704)
(-0.137819,-1.01937)
(-0.146186,-1.02185)
(-0.154508,-1.02447)
(-0.162784,-1.02724)
(-0.17101,-1.03015)
(-0.179184,-1.03321)
(-0.187303,-1.03641)
(-0.195366,-1.03975)
(-0.203368,-1.04323)
(-0.211309,-1.04685)
(-0.219186,-1.0506)
(-0.226995,-1.0545)
(-0.234736,-1.05853)
(-0.242405,-1.06269)
(-0.25,-1.06699)
(-0.257519,-1.07142)
(-0.26496,-1.07598)
(-0.27232,-1.08066)
(-0.279596,-1.08548)
(-0.286788,-1.09042)
(-0.293893,-1.09549)
(-0.300908,-1.10068)
(-0.307831,-1.10599)
(-0.31466,-1.11143)
(-0.321394,-1.11698)
(-0.32803,-1.12265)
(-0.334565,-1.12843)
(-0.340999,-1.13432)
(-0.347329,-1.14033)
(-0.353553,-1.14645)
(-0.35967,-1.15267)
(-0.365677,-1.159)
(-0.371572,-1.16543)
(-0.377355,-1.17197)
(-0.383022,-1.17861)
(-0.388573,-1.18534)
(-0.394005,-1.19217)
(-0.399318,-1.19909)
(-0.404508,-1.20611)
(-0.409576,-1.21321)
(-0.414519,-1.2204)
(-0.419335,-1.22768)
(-0.424024,-1.23504)
(-0.428584,-1.24248)
(-0.433013,-1.25)
(-0.43731,-1.2576)
(-0.441474,-1.26526)
(-0.445503,-1.273)
(-0.449397,-1.28081)
(-0.453154,-1.28869)
(-0.456773,-1.29663)
(-0.460252,-1.30463)
(-0.463592,-1.3127)
(-0.46679,-1.32082)
(-0.469846,-1.32899)
(-0.472759,-1.33722)
(-0.475528,-1.34549)
(-0.478152,-1.35381)
(-0.480631,-1.36218)
(-0.482963,-1.37059)
(-0.485148,-1.37904)
(-0.487185,-1.38752)
(-0.489074,-1.39604)
(-0.490814,-1.4046)
(-0.492404,-1.41318)
(-0.493844,-1.42178)
(-0.495134,-1.43041)
(-0.496273,-1.43907)
(-0.497261,-1.44774)
(-0.498097,-1.45642)
(-0.498782,-1.46512)
(-0.499315,-1.47383)
(-0.499695,-1.48255)
(-0.499924,-1.49127)
(-0.5,-1.5)
(-0.499924,-1.50873)
(-0.499695,-1.51745)
(-0.499315,-1.52617)
(-0.498782,-1.53488)
(-0.498097,-1.54358)
(-0.497261,-1.55226)
(-0.496273,-1.56093)
(-0.495134,-1.56959)
(-0.493844,-1.57822)
(-0.492404,-1.58682)
(-0.490814,-1.5954)
(-0.489074,-1.60396)
(-0.487185,-1.61248)
(-0.485148,-1.62096)
(-0.482963,-1.62941)
(-0.480631,-1.63782)
(-0.478152,-1.64619)
(-0.475528,-1.65451)
(-0.472759,-1.66278)
(-0.469846,-1.67101)
(-0.46679,-1.67918)
(-0.463592,-1.6873)
(-0.460252,-1.69537)
(-0.456773,-1.70337)
(-0.453154,-1.71131)
(-0.449397,-1.71919)
(-0.445503,-1.727)
(-0.441474,-1.73474)
(-0.43731,-1.7424)
(-0.433013,-1.75)
(-0.428584,-1.75752)
(-0.424024,-1.76496)
(-0.419335,-1.77232)
(-0.414519,-1.7796)
(-0.409576,-1.78679)
(-0.404508,-1.79389)
(-0.399318,-1.80091)
(-0.394005,-1.80783)
(-0.388573,-1.81466)
(-0.383022,-1.82139)
(-0.377355,-1.82803)
(-0.371572,-1.83457)
(-0.365677,-1.841)
(-0.35967,-1.84733)
(-0.353553,-1.85355)
(-0.347329,-1.85967)
(-0.340999,-1.86568)
(-0.334565,-1.87157)
(-0.32803,-1.87735)
(-0.321394,-1.88302)
(-0.31466,-1.88857)
(-0.307831,-1.89401)
(-0.300908,-1.89932)
(-0.293893,-1.90451)
(-0.286788,-1.90958)
(-0.279596,-1.91452)
(-0.27232,-1.91934)
(-0.26496,-1.92402)
(-0.257519,-1.92858)
(-0.25,-1.93301)
(-0.242405,-1.93731)
(-0.234736,-1.94147)
(-0.226995,-1.9455)
(-0.219186,-1.9494)
(-0.211309,-1.95315)
(-0.203368,-1.95677)
(-0.195366,-1.96025)
(-0.187303,-1.96359)
(-0.179184,-1.96679)
(-0.17101,-1.96985)
(-0.162784,-1.97276)
(-0.154508,-1.97553)
(-0.146186,-1.97815)
