(-8.98,-9,0.02,-8.96,-8.9996,0.04,-8.94002,-8.9988,0.06,-8.92006,-8.9976,0.08,-8.90012,-8.996,0.1,-8.88022,-8.99401,0.12,-8.86036,-8.99161,0.14,-8.84056,-8.98882,0.16,-8.82081,-8.98563,0.18,-8.80114,-8.98205,0.2,-8.78154,-8.97808,0.22,-8.76202,-8.97372,0.24,-8.74259,-8.96896,0.26,-8.72326,-8.96382,0.28,-8.70404,-8.95829,0.3,-8.68494,-8.95238,0.32,-8.66595,-8.94609,0.34,-8.6471,-8.93942,0.36,-8.62838,-8.93238,0.38,-8.60981,-8.92496,0.4,-8.59138,-8.91717,0.42,-8.57312,-8.90901,0.44,-8.55503,-8.9005,0.46,-8.53711,-8.89162,0.48,-8.51937,-8.88238,0.5,)
(-8.50181,-8.87279,0.488576,-8.48415,-8.86341,0.477152,-8.46639,-8.85422,0.465729,-8.44852,-8.84524,0.454305,-8.43055,-8.83646,0.442881,-8.41248,-8.82789,0.431457,-8.39431,-8.81953,0.420034,-8.37605,-8.81137,0.40861,-8.35769,-8.80342,0.397186,-8.33925,-8.79569,0.385762,-8.32072,-8.78816,0.374339,-8.30211,-8.78085,0.362915,-8.28341,-8.77375,0.351491,-8.26463,-8.76686,0.340067,-8.24578,-8.76019,0.328644,-8.22685,-8.75374,0.31722,-8.20785,-8.7475,0.305796,-8.18877,-8.74148,0.294372,-8.16963,-8.73567,0.282948,-8.15043,-8.73009,0.271525,-8.13116,-8.72473,0.260101,-8.11183,-8.71958,0.248677,-8.09245,-8.71466,0.237253,-8.07301,-8.70996,0.22583,-8.05352,-8.70548,0.214406,)
(-8.03398,-8.70123,0.218126,-8.01445,-8.6969,0.221846,-7.99494,-8.6925,0.225565,-7.97545,-8.68803,0.229285,-7.95597,-8.68348,0.233005,-7.93651,-8.67886,0.236725,-7.91707,-8.67417,0.240445,-7.89764,-8.66941,0.244165,-7.87824,-8.66457,0.247885,-7.85885,-8.65967,0.251604,-7.83948,-8.65469,0.255324,-7.82013,-8.64964,0.259044,-7.80079,-8.64451,0.262764,-7.78148,-8.63932,0.266484,-7.76219,-8.63405,0.270204,-7.74291,-8.62871,0.273923,-7.72366,-8.6233,0.277643,-7.70442,-8.61782,0.281363,-7.68521,-8.61227,0.285083,-7.66602,-8.60664,0.288803,-7.64684,-8.60095,0.292523,-7.62769,-8.59518,0.296243,-7.60857,-8.58934,0.299962,-7.58946,-8.58343,0.303682,-7.57037,-8.57745,0.307402,)
(-7.55131,-8.5714,0.287402,-7.53213,-8.56573,0.267402,-7.51284,-8.56044,0.247402,-7.49345,-8.55555,0.227402,-7.47397,-8.55104,0.207402,-7.4544,-8.54692,0.187402,-7.43475,-8.54319,0.167402,-7.41502,-8.53986,0.147402,-7.39524,-8.53692,0.127402,-7.3754,-8.53438,0.107402,-7.35552,-8.53224,0.0874021,-7.3356,-8.53049,0.0674021,-7.31564,-8.52915,0.0474021,-7.29566,-8.5282,0.0274021,-7.27567,-8.52765,0.0074021,-7.25567,-8.5275,-0.0125979,-7.23567,-8.52775,-0.0325979,-7.21568,-8.52841,-0.0525979,-7.19571,-8.52946,-0.0725979,-7.17576,-8.53091,-0.0925979,-7.15585,-8.53276,-0.112598,-7.13598,-8.535,-0.132598,-7.11615,-8.53765,-0.152598,-7.09638,-8.54069,-0.172598,-7.07668,-8.54412,-0.192598,)
(-7.05705,-8.54795,-0.185093,-7.03739,-8.55163,-0.177589,-7.01771,-8.55517,-0.170084,-6.998,-8.55855,-0.16258,-6.97826,-8.56179,-0.155075,-6.9585,-8.56488,-0.14757,-6.93872,-8.56782,-0.140066,-6.91891,-8.57061,-0.132561,-6.89909,-8.57325,-0.125057,-6.87924,-8.57575,-0.117552,-6.85938,-8.57809,-0.110047,-6.8395,-8.58029,-0.102543,-6.81961,-8.58234,-0.0950381,-6.7997,-8.58424,-0.0875335,-6.77978,-8.58598,-0.0800289,-6.75984,-8.58758,-0.0725243,-6.73989,-8.58903,-0.0650197,-6.71993,-8.59033,-0.0575151,-6.69997,-8.59148,-0.0500105,-6.67999,-8.59248,-0.0425059,-6.66001,-8.59333,-0.0350013,-6.64002,-8.59403,-0.0274967,-6.62003,-8.59458,-0.0199921,-6.60003,-8.59498,-0.0124875,-6.58004,-8.59523,-0.0049829,)
(-7.09631,-8.5403,-0.212598,-7.11586,-8.53608,-0.232598,-7.13532,-8.53147,-0.252598,-7.15469,-8.52647,-0.272598,-7.17395,-8.52108,-0.292598,-7.1931,-8.51531,-0.312598,-7.21213,-8.50916,-0.332598,-7.23103,-8.50263,-0.352598,-7.2498,-8.49573,-0.372598,-7.26843,-8.48845,-0.392598,-7.28691,-8.48079,-0.412598,-7.30523,-8.47277,-0.432598,-7.32339,-8.46439,-0.452598,-7.34138,-8.45564,-0.472598,-7.35918,-8.44654,-0.492598,-7.37681,-8.43708,-0.512598,-7.39423,-8.42727,-0.532598,-7.41146,-8.41712,-0.552598,-7.42849,-8.40662,-0.572598,-7.4453,-8.39578,-0.592598,-7.46189,-8.38461,-0.612598,-7.47825,-8.37311,-0.632598,-7.49438,-8.36129,-0.652598,-7.51027,-8.34914,-0.672598,-7.52591,-8.33668,-0.692598,)
(-7.54131,-8.32391,-0.712598,-7.55644,-8.31083,-0.732598,-7.57131,-8.29746,-0.752598,-7.58591,-8.28379,-0.772598,-7.60023,-8.26983,-0.792598,-7.61427,-8.25558,-0.812598,-7.62802,-8.24106,-0.832598,-7.64148,-8.22627,-0.852598,-7.65464,-8.21121,-0.872598,-7.6675,-8.19589,-0.892598,-7.68005,-8.18032,-0.912598,-7.69228,-8.16449,-0.932598,-7.70419,-8.14843,-0.952598,-7.71579,-8.13213,-0.972598,-7.72705,-8.1156,-0.992598,-7.73798,-8.09886,-1.0126,-7.74857,-8.08189,-1.0326,-7.75882,-8.06472,-1.0526,-7.76873,-8.04734,-1.0726,-7.77829,-8.02978,-1.0926,-7.78749,-8.01202,-1.1126,-7.79634,-7.99408,-1.1326,-7.80482,-7.97597,-1.1526,-7.81295,-7.95769,-1.1726,-7.8207,-7.93926,-1.1926,)
(-6.56004,-8.59533,0.0150171,-6.54004,-8.59503,0.0350171,-6.52005,-8.59433,0.0550171,-6.50008,-8.59323,0.0750171,-6.48014,-8.59173,0.0950171,-6.46023,-8.58983,0.115017,-6.44036,-8.58754,0.135017,-6.42054,-8.58485,0.155017,-6.40078,-8.58176,0.175017,-6.38109,-8.57828,0.195017,-6.36147,-8.5744,0.215017,-6.34193,-8.57013,0.235017,-6.32248,-8.56548,0.255017,-6.30312,-8.56043,0.275017,-6.28387,-8.555,0.295017,-6.26474,-8.54918,0.315017,-6.24572,-8.54299,0.335017,-6.22683,-8.53641,0.355017,-6.20808,-8.52946,0.375017,-6.18947,-8.52213,0.395017,-6.17101,-8.51444,0.415017,-6.15271,-8.50637,0.435017,-6.13457,-8.49794,0.455017,-6.11661,-8.48915,0.475017,-6.09882,-8.48001,0.495017,)
(-7.82809,-7.92067,-1.2126,-7.8351,-7.90194,-1.2326,-7.84173,-7.88308,-1.2526,-7.84799,-7.86408,-1.2726,-7.85387,-7.84496,-1.2926,-7.85936,-7.82573,-1.3126,-7.86447,-7.80639,-1.3326,-7.86919,-7.78696,-1.3526,-7.87351,-7.76743,-1.3726,-7.87745,-7.74782,-1.3926,-7.881,-7.72814,-1.4126,-7.88415,-7.70839,-1.4326,-7.8869,-7.68858,-1.4526,-7.88926,-7.66872,-1.4726,-7.89122,-7.64882,-1.4926,-7.89279,-7.62888,-1.5126,-7.89395,-7.60891,-1.5326,-7.89471,-7.58893,-1.5526,-7.89508,-7.56893,-1.5726,-7.89504,-7.54893,-1.5926,-7.8946,-7.52894,-1.6126,-7.89377,-7.50895,-1.6326,-7.89253,-7.48899,-1.6526,-7.8909,-7.46906,-1.6726,-7.88887,-7.44916,-1.6926,)
(-6.08122,-8.47051,0.475017,-6.06344,-8.46136,0.455017,-6.04547,-8.45257,0.435017,-6.02733,-8.44414,0.415017,-6.00903,-8.43608,0.395017,-5.99057,-8.42838,0.375017,-5.97196,-8.42106,0.355017,-5.95321,-8.4141,0.335017,-5.93432,-8.40753,0.315017,-5.91531,-8.40133,0.295017,-5.89617,-8.39552,0.275017,-5.87692,-8.39008,0.255017,-5.85757,-8.38504,0.235017,-5.83812,-8.38038,0.215017,-5.81858,-8.37611,0.195017,-5.79896,-8.37224,0.175017,-5.77926,-8.36876,0.155017,-5.7595,-8.36567,0.135017,-5.73969,-8.36298,0.115017,-5.71982,-8.36068,0.0950171,-5.69991,-8.35878,0.0750171,-5.67996,-8.35728,0.0550171,-5.65999,-8.35618,0.0350171,-5.64001,-8.35548,0.0150171,-5.62001,-8.35518,-0.0049829,)
